Fund,Account #,Ticker,Description,Broker,Transaction Type,Trade Date,Settle Date,Quantity,Commission,Price,Gross $,Commission $,Fees,Net $,Instrument Type,Call/Put,Contract Size,Exp Date,Strike Price,Currency,Transaction Id,TrdSign,SEC Fee,ORF Fee,OCC Fee,Portfolio,,Custodian
wsfTrendli,32500395Trendli.USD,CHRW,"C.H. Robinson Worldwide, Inc.",CFR,Sell to Close,07/10/2026,07/13/2026,(29),0.0065,193.2500,5604.25,(0.19),(0.12),5603.94,Common Stock,,,,,USD,10297ff6356b42e7ef9692477d1362a5_6361e8980168257a5ca7e5f55d65d1f4,(1),(0.12),0.00,0.00,Default,,cant
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,DFH,"Dream Finders Homes, Inc. Class A",GSPT,Buy to Cover,07/10/2026,07/13/2026,5,0.0100,16.4100,(82.05),(0.05),0.00,(82.10),Common Stock,,,,,USD,830eb16673f6f426f63beb9216ead135_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,PHM,"PulteGroup, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,125.9050,125.91,(0.01),(0.01),125.88,Common Stock,,,,,USD,652c09182c171b606ca78a3f94849b5f_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,APD,"Air Products and Chemicals, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(3),0.0100,299.0200,897.06,(0.03),(0.02),897.01,Common Stock,,,,,USD,cc878110ad23ade3001749610da95197_9544849d94cd73391daf1822dea1cf69,(1),(0.02),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,XYZ,"Block, Inc. Class A",GSPT,Sell to Close,07/10/2026,07/13/2026,(2),0.0100,77.3650,154.73,(0.02),(0.01),154.70,Common Stock,,,,,USD,5b40934c11625e1217189a8fff165c3f_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,TROW,"T. Rowe Price Group, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,119.1500,119.15,(0.01),(0.01),119.13,Common Stock,,,,,USD,c689ff578ddab34cf45ca936f88efc62_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,MU,"Micron Technology, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,980.0000,980.00,(0.01),(0.03),979.96,Common Stock,,,,,USD,99d3b0cb826c76c6ba54a85197f9471d_75daddc2f2e8e016bec80ce345b00185,(1),(0.03),0.00,0.00,TopWater,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,MU,"Micron Technology, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(18),0.0100,980.0000,17640.00,(0.18),(0.37),17639.45,Common Stock,,,,,USD,99d3b0cb826c76c6ba54a85197f9471d_3180773ea06483ef201569b94df6ab6a,(1),(0.37),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,PSX,Phillips 66,GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,186.7800,186.78,(0.01),(0.01),186.76,Common Stock,,,,,USD,106453291fb52dc80e0bd230572dbced_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,CAVA,"CAVA Group, Inc.",PREX,Buy to Cover,07/10/2026,07/13/2026,370,0.0500,71.6686,(26517.38),(18.50),0.00,(26535.88),Common Stock,,,,,USD,0d124fdc349dda78b66dae458bab8367_4fc362f270110ecc7ae7463f13eed099,1,0.00,0.00,0.00,Default,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,INSP,"Inspire Medical Systems, Inc.",PREX,Sell to Close,07/10/2026,07/13/2026,(384),0.0500,51.7740,19881.22,(19.20),(0.41),19861.61,Common Stock,,,,,USD,ba8d59a4d28de1007ac89e3d5f844f13_4fc362f270110ecc7ae7463f13eed099,(1),(0.41),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,LBTYK,Liberty Global Ltd. Class C,GSPT,Short Sell,07/10/2026,07/13/2026,(18),0.0100,10.0950,181.71,(0.18),(0.01),181.52,Common Stock,,,,,USD,b780b626976a782e52559be06760df0a_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,NOC,Northrop Grumman Corp.,GSPT,Buy to Open,07/10/2026,07/13/2026,1,0.0100,536.2200,(536.22),(0.01),0.00,(536.23),Common Stock,,,,,USD,72c101521f5920804ee6b5c8b5bf04dc_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,NOC,Northrop Grumman Corp.,GSPT,Buy to Open,07/10/2026,07/13/2026,1,0.0100,536.2200,(536.22),(0.01),0.00,(536.23),Common Stock,,,,,USD,72c101521f5920804ee6b5c8b5bf04dc_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,CTVA,Corteva Inc,GSPT,Sell to Close,07/10/2026,07/13/2026,(11),0.0100,85.1250,936.38,(0.11),(0.02),936.25,Common Stock,,,,,USD,23f113af30e9aef4a8558ea69dd9ebbf_9544849d94cd73391daf1822dea1cf69,(1),(0.02),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,GOLD,"Gold.com, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,6,0.0100,40.4750,(242.85),(0.06),0.00,(242.91),Common Stock,,,,,USD,174a027741e7489f2963d24d1253b66f_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfTMT,065448128TMT.USD,FIS,"Fidelity National Information Services, Inc.",GSPT,Short Sell,07/10/2026,07/13/2026,(4582),0.0100,41.7446,191273.76,(45.82),(3.95),191223.99,Common Stock,,,,,USD,2565a2c1d6c85d009a3ec26e92ec9300_aaeb43ff07d7bcb3d902bc50e28d72fd,(1),(3.95),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,QS,QuantumScape Corporation Class A,GSPT,Buy to Cover,07/10/2026,07/13/2026,75,0.0100,6.7018,(502.64),(0.75),0.00,(503.39),Common Stock,,,,,USD,501e3cb001584847830be4b50b6fd8c4_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersV2,065448128CompoundersV2.USD,QS,QuantumScape Corporation Class A,GSPT,Buy to Cover,07/10/2026,07/13/2026,767,0.0100,6.7018,(5140.28),(7.67),0.00,(5147.95),Common Stock,,,,,USD,501e3cb001584847830be4b50b6fd8c4_c0988a970718c11d2ed9b306d70d45e3,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersV2AIGr,9823_CROS_CompoundersV2AIGr.USD,REYN,Reynolds Consumer Products Inc,CROS,Buy to Cover,07/10/2026,07/10/2026,303,0.0000,26.2700,(7959.81),(0.00),0.00,(7959.81),Common Stock,,,,,USD,fd202342b8f17d3569c62381c19611e6_c0b76638d970af94b23906f374bbfcd6,1,0.00,0.00,0.00,Default,,cros
wsfCompoundersLO,065448128CompoundersLO.USD,CENX,Century Aluminum Company,GSPT,Sell to Close,07/10/2026,07/13/2026,(22),0.0100,44.4200,977.24,(0.22),(0.03),976.99,Common Stock,,,,,USD,4968dd7303254d0813c62f19e14c8ac5_9544849d94cd73391daf1822dea1cf69,(1),(0.03),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,DHT,"DHT Holdings, Inc.",GSPT,Buy to Open,07/10/2026,07/13/2026,2,0.0100,17.5100,(35.02),(0.02),0.00,(35.04),Common Stock,,,,,USD,65e64f3448e4d6deb6b88c14a6c80992_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,DHT,"DHT Holdings, Inc.",GSPT,Buy to Open,07/10/2026,07/13/2026,58,0.0100,17.5100,(1015.58),(0.58),0.00,(1016.16),Common Stock,,,,,USD,65e64f3448e4d6deb6b88c14a6c80992_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersV2,9823_CROS_CompoundersV2.USD,SOUN,"SoundHound AI, Inc Class A",CROS,Buy to Cover,07/10/2026,07/10/2026,1823,0.0000,6.6400,(12104.72),(0.00),0.00,(12104.72),Common Stock,,,,,USD,eadc1e3983f9b6a31a001fa93da5fc1d_4cdf1f22614b7a70ca891598abf0d0e1,1,0.00,0.00,0.00,Default,,cros
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,AMD,"Advanced Micro Devices, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,554.2400,554.24,(0.01),(0.02),554.21,Common Stock,,,,,USD,b65a3c194a699de3273becb04165b07f_75daddc2f2e8e016bec80ce345b00185,(1),(0.02),0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,WTFC,Wintrust Financial Corporation,GSPT,Buy to Open,07/10/2026,07/13/2026,6,0.0100,161.4800,(968.88),(0.06),0.00,(968.94),Common Stock,,,,,USD,1a6ea52f21f44ab05f93f35db80db53c_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,SLGN,Silgan Holdings Inc.,GSPT,Sell to Close,07/10/2026,07/13/2026,(22),0.0100,45.1400,993.08,(0.22),(0.03),992.83,Common Stock,,,,,USD,c09d36f99ee2a3220929940c3df0a45f_9544849d94cd73391daf1822dea1cf69,(1),(0.03),0.00,0.00,Default,,gsco
wsfTMT,065448128TMT.USD,BR,"Broadridge Financial Solutions, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,235,0.0100,146.0280,(34316.58),(2.35),0.00,(34318.93),Common Stock,,,,,USD,f39d161ddaab3796d914fde59353d2ef_aaeb43ff07d7bcb3d902bc50e28d72fd,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,EXPD,"Expeditors International of Washington, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(2),0.0100,170.3400,340.68,(0.02),(0.01),340.65,Common Stock,,,,,USD,4d9211229497099ac5739ad31b5d12b9_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,SMCI,"Super Micro Computer, Inc.",PREX,Sell to Close,07/10/2026,07/13/2026,(545),0.0500,28.7191,15651.91,(27.25),(0.33),15624.33,Common Stock,,,,,USD,505fa945ea70b696f9b04a47b9cea253_4fc362f270110ecc7ae7463f13eed099,(1),(0.33),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,INOD,Innodata Inc.,GSPT,Buy to Cover,07/10/2026,07/13/2026,4,0.0100,67.6400,(270.56),(0.04),0.00,(270.60),Common Stock,,,,,USD,979753160a229ad9bc23d0e975f44072_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfTMT,9823_CROS_TMT.USD,AAPL,Apple Inc.,CROS,Sell to Close,07/10/2026,07/10/2026,(94),0.0000,315.3200,29640.08,(0.00),0.00,29640.08,Common Stock,,,,,USD,bcda28c07dbd3ff396609ac72fb0fe04_40ff9c573841620bd200dd5a622cf9ff,(1),0.00,0.00,0.00,Default,,cros
wsfTrendli,32500395Trendli.USD,ODFL,"Old Dominion Freight Line, Inc.",CFR,Sell to Close,07/10/2026,07/13/2026,(7),0.0065,225.6300,1579.41,(0.05),(0.04),1579.32,Common Stock,,,,,USD,8d2e1ed94067deafb9e9d92d82c3c3ee_6361e8980168257a5ca7e5f55d65d1f4,(1),(0.04),0.00,0.00,Default,,cant
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,HE,"Hawaiian Electric Industries, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,21,0.0100,13.3600,(280.56),(0.21),0.00,(280.77),Common Stock,,,,,USD,05517ae9a81160378727a2c40c35d007_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,NSIT,"Insight Enterprises, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,7,0.0100,119.9597,(839.72),(0.07),0.00,(839.79),Common Stock,,,,,USD,56022f9e36c5f4635438aab5624f0b39_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersV2,065448128CompoundersV2.USD,NSIT,"Insight Enterprises, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,50,0.0100,119.9597,(5997.98),(0.50),0.00,(5998.48),Common Stock,,,,,USD,56022f9e36c5f4635438aab5624f0b39_c0988a970718c11d2ed9b306d70d45e3,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,NSIT,"Insight Enterprises, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,19,0.0100,119.9597,(2279.23),(0.19),0.00,(2279.42),Common Stock,,,,,USD,56022f9e36c5f4635438aab5624f0b39_3180773ea06483ef201569b94df6ab6a,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,TRC,Tejon Ranch Co.,GSPT,Buy to Cover,07/10/2026,07/13/2026,21,0.0100,18.4100,(386.61),(0.21),0.00,(386.82),Common Stock,,,,,USD,ebc42410677198cf320a70a65975fcb5_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,ABT,Abbott Laboratories,GSPT,Buy to Open,07/10/2026,07/13/2026,1,0.0100,93.7150,(93.72),(0.01),0.00,(93.73),Common Stock,,,,,USD,e341429befe69aa86e35a5fae3687892_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,XLC,State Street Communication Services Select Sector SPDR ETF,PREX,Buy to Cover,07/10/2026,07/13/2026,183,0.0600,111.4978,(20404.10),(10.98),0.00,(20415.08),Common Stock,,,,,USD,187a512c14123e4f893433b23cd42b19_4fc362f270110ecc7ae7463f13eed099,1,0.00,0.00,0.00,Default,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,RUN,Sunrun Inc.,PREX,Sell to Close,07/10/2026,07/13/2026,(1600),0.0400,12.4200,19872.00,(64.00),(0.41),19807.59,Common Stock,,,,,USD,d3faef621c92214db385334535baaa66_4fc362f270110ecc7ae7463f13eed099,(1),(0.41),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,TOL,"Toll Brothers, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,151.1500,151.15,(0.01),(0.01),151.13,Common Stock,,,,,USD,fb9b7fbf13440c2a9bc5bf4102e21a5e_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,MDLZ,"Mondelez International, Inc. Class A",GSPT,Buy to Open,07/10/2026,07/13/2026,3,0.0100,58.6050,(175.81),(0.03),0.00,(175.84),Common Stock,,,,,USD,684539ffc5df07d4db212d49999792ca_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,MDLZ,"Mondelez International, Inc. Class A",GSPT,Buy to Open,07/10/2026,07/13/2026,17,0.0100,58.6050,(996.28),(0.17),0.00,(996.45),Common Stock,,,,,USD,684539ffc5df07d4db212d49999792ca_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,GNL,Global Net Lease Inc,GSPT,Buy to Cover,07/10/2026,07/13/2026,48,0.0100,9.0150,(432.72),(0.48),0.00,(433.20),Common Stock,,,,,USD,4abc40b4af33b67f71b3564e2a8572bc_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,PUBM,"PubMatic, Inc. Class A",GSPT,Buy to Cover,07/10/2026,07/13/2026,61,0.0100,13.5569,(826.97),(0.61),0.00,(827.58),Common Stock,,,,,USD,7de028a3882ff37f44df73a20cd4bec1_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersV2,065448128CompoundersV2.USD,PUBM,"PubMatic, Inc. Class A",GSPT,Buy to Cover,07/10/2026,07/13/2026,409,0.0100,13.5569,(5544.77),(4.09),0.00,(5548.86),Common Stock,,,,,USD,7de028a3882ff37f44df73a20cd4bec1_c0988a970718c11d2ed9b306d70d45e3,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,PUBM,"PubMatic, Inc. Class A",GSPT,Buy to Cover,07/10/2026,07/13/2026,555,0.0100,13.5569,(7524.08),(5.55),0.00,(7529.63),Common Stock,,,,,USD,7de028a3882ff37f44df73a20cd4bec1_3180773ea06483ef201569b94df6ab6a,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,GE,GE Aerospace,GSPT,Buy to Open,07/10/2026,07/13/2026,2,0.0100,360.0750,(720.15),(0.02),0.00,(720.17),Common Stock,,,,,USD,f60b8063ae0843c963266c525563470a_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
topTrendli,065465783Trendli.USD,F,Ford Motor Company,GSPT,Buy to Cover,07/10/2026,07/13/2026,82,0.0100,14.0200,(1149.64),(0.82),0.00,(1150.46),Common Stock,,,,,USD,6519e178e8454ca8aacf5ce3658e1999_24d570c6fac752d3882c3c281bb5641b,1,0.00,0.00,0.00,TopWater,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,VTI,Vanguard Total Stock Market ETF,PREX,Short Sell,07/10/2026,07/13/2026,(40),0.0600,372.5410,14901.64,(2.40),(0.31),14898.93,Common Stock,,,,,USD,99a7cdda169cd335109c195b320c64b5_4fc362f270110ecc7ae7463f13eed099,(1),(0.31),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,ETD,Ethan Allen Interiors Inc.,GSPT,Buy to Cover,07/10/2026,07/13/2026,13,0.0100,21.8500,(284.05),(0.13),0.00,(284.18),Common Stock,,,,,USD,6f8a2c245e04ffe3edccba395f73a589_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,MUR,Murphy Oil Corporation,GSPT,Buy to Open,07/10/2026,07/13/2026,4,0.0100,33.4600,(133.84),(0.04),0.00,(133.88),Common Stock,,,,,USD,4febee335674b1e9ffd2d78b47cc390f_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,MUR,Murphy Oil Corporation,GSPT,Buy to Open,07/10/2026,07/13/2026,30,0.0100,33.4600,(1003.80),(0.30),0.00,(1004.10),Common Stock,,,,,USD,4febee335674b1e9ffd2d78b47cc390f_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,MSGE,Madison Square Garden Entertainment Corp.,GSPT,Buy to Cover,07/10/2026,07/13/2026,6,0.0100,73.7800,(442.68),(0.06),0.00,(442.74),Common Stock,,,,,USD,f52c6418225ba372c01c3bbd848f867d_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topTrendli,065465783Trendli.USD,ODFL,"Old Dominion Freight Line, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(2),0.0100,225.9550,451.91,(0.02),(0.01),451.88,Common Stock,,,,,USD,e37d1ed4f188a94288ce3173ff07ae73_24d570c6fac752d3882c3c281bb5641b,(1),(0.01),0.00,0.00,TopWater,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,LOCO,"El Pollo Loco Holdings, Inc.",PREX,Sell to Close,07/10/2026,07/13/2026,(891),0.0400,16.7514,14925.50,(35.64),(0.31),14889.55,Common Stock,,,,,USD,8e5cff3629f4b56c205f473550765dde_4fc362f270110ecc7ae7463f13eed099,(1),(0.31),0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,PANW,"Palo Alto Networks, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(2),0.0100,324.9238,649.85,(0.02),(0.02),649.81,Common Stock,,,,,USD,9b58d08600e9773ae909bb5381d72fae_9544849d94cd73391daf1822dea1cf69,(1),(0.02),0.00,0.00,Default,,gsco
wsfTMT,065448128TMT.USD,PANW,"Palo Alto Networks, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(199),0.0100,324.9238,64659.84,(1.99),(1.34),64656.51,Common Stock,,,,,USD,9b58d08600e9773ae909bb5381d72fae_aaeb43ff07d7bcb3d902bc50e28d72fd,(1),(1.34),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,CLPT,"ClearPoint Neuro, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,23,0.0100,17.1550,(394.57),(0.23),0.00,(394.80),Common Stock,,,,,USD,f45ac83923f96ff88b502f4c1a45a898_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topTrendli,TW_CROS_Trendli.USD,VZ,Verizon Communications Inc.,CROS,Short Sell,07/10/2026,07/10/2026,(3),0.0000,42.1200,126.36,(0.00),0.00,126.36,Common Stock,,,,,USD,e5d59f8eb7878dbd83eaf8800afd6cda_8a1537eb0ed211da42143a5baee34ffa,(1),0.00,0.00,0.00,TopWater,,cros
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,LOPE,"Grand Canyon Education, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,1,0.0100,150.4500,(150.45),(0.01),0.00,(150.46),Common Stock,,,,,USD,07e0251ed842cfb2d363b1f687d17000_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,SPOT,Spotify Technology SA,GSPT,Buy to Open,07/10/2026,07/13/2026,2,0.0100,481.7200,(963.44),(0.02),0.00,(963.46),Common Stock,,,,,USD,81289c018f3aa8d22711dd5f6525bfc4_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
wsfTrendli,32500395Trendli.USD,INSM,Insmed Incorporated,CFR,Sell to Close,07/10/2026,07/13/2026,(12),0.0065,113.8700,1366.44,(0.08),(0.03),1366.33,Common Stock,,,,,USD,cbde51aa1519445c0b6753d95d6519aa_6361e8980168257a5ca7e5f55d65d1f4,(1),(0.03),0.00,0.00,Default,,cant
wsfFCMAlpha,065448128FCMAlpha.USD,AFRM,"Affirm Holdings, Inc. Class A",PREX,Sell to Close,07/10/2026,07/13/2026,(113),0.0500,82.9032,9368.06,(5.65),(0.20),9362.21,Common Stock,,,,,USD,d3dce300909ab77a5628b3128386777c_4fc362f270110ecc7ae7463f13eed099,(1),(0.20),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,SRE,Sempra,GSPT,Buy to Open,07/10/2026,07/13/2026,1,0.0100,93.9850,(93.98),(0.01),0.00,(94.00),Common Stock,,,,,USD,1f2f2df87eb6feca263e4e2c7ab35061_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,SRE,Sempra,GSPT,Buy to Open,07/10/2026,07/13/2026,10,0.0100,93.9850,(939.85),(0.10),0.00,(939.95),Common Stock,,,,,USD,1f2f2df87eb6feca263e4e2c7ab35061_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
wsfTMT,065448128TMT.USD,PLTR,Palantir Technologies Inc. Class A,GSPT,Short Sell,07/10/2026,07/13/2026,(123),0.0100,127.5050,15683.11,(1.23),(0.33),15681.56,Common Stock,,,,,USD,9787f2da397020fd22e6d999ac355cbf_aaeb43ff07d7bcb3d902bc50e28d72fd,(1),(0.33),0.00,0.00,Default,,gsco
wsfCompoundersLO,9823_CROS_CompoundersLO.USD,AAPL,Apple Inc.,CROS,Sell to Close,07/10/2026,07/10/2026,(3),0.0000,315.3200,945.96,(0.00),0.00,945.96,Common Stock,,,,,USD,b1d89e71c8899316030757b7e0af4701_b1485f54808f911e5efffe5d76db4c33,(1),0.00,0.00,0.00,Default,,cros
wsfFCMAlpha,065448128FCMAlpha.USD,IGV,iShares Expanded Tech-Software Sector ETF,PREX,Short Sell,07/10/2026,07/13/2026,(114),0.0500,92.4578,10540.19,(5.70),(0.22),10534.27,Common Stock,,,,,USD,929611bcb2075b36a6d302daf8aa308c_4fc362f270110ecc7ae7463f13eed099,(1),(0.22),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,STLD,"Steel Dynamics, Inc.",GSPT,Buy to Open,07/10/2026,07/13/2026,1,0.0100,227.8900,(227.89),(0.01),0.00,(227.90),Common Stock,,,,,USD,7ec5501a47c4775e9c43e7971272b042_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,ARHS,"Arhaus, Inc. Class A",GSPT,Buy to Cover,07/10/2026,07/13/2026,83,0.0100,7.9319,(658.35),(0.83),0.00,(659.18),Common Stock,,,,,USD,fc6818eedd5db91074751ee736572a5b_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,ITGR,Integer Holdings Corporation,GSPT,Buy to Cover,07/10/2026,07/13/2026,4,0.0100,93.1300,(372.52),(0.04),0.00,(372.56),Common Stock,,,,,USD,05f611f1ce481f95207b4c9540835963_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,RBA,"RB Global, Inc.",GSPT,Buy to Open,07/10/2026,07/13/2026,9,0.0100,109.1600,(982.44),(0.09),0.00,(982.53),Common Stock,,,,,USD,e077e2a9d8af6e29b8d7449972733028_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,WEN,Wendy's Company,PREX,Buy to Open,07/10/2026,07/13/2026,37,0.0300,7.6142,(281.73),(1.11),0.00,(282.84),Common Stock,,,,,USD,1201a1e6d23a2b0950bca7223ff4ef9d_4fc362f270110ecc7ae7463f13eed099,1,0.00,0.00,0.00,Default,,gsco
